listing_id,Space Word Count,Description Word Count,host_response_rate,host_acceptance_rate,host_is_superhost,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month
18764,110,165,0%,100%,f,t,Private room,4,1,2,2,Real Bed,$145.00 ,365,63,89,9,9,10,10,9,9,t,f,strict_14_with_grace_period,t,t,0.51
19159,147,160,100%,100%,t,t,Entire home/apt,3,1,2,2,Real Bed,$110.00 ,312,56,94,10,10,9,10,8,9,f,f,strict_14_with_grace_period,f,f,0.46
19169,169,165,100%,97%,t,t,Entire home/apt,4,1,2,2,Real Bed,$285.00 ,358,77,88,9,9,10,9,10,8,f,f,strict_14_with_grace_period,f,t,0.62
19282,172,169,N/A,100%,f,t,Entire home/apt,4,2,1,2,Real Bed,$130.00 ,30,17,94,10,10,10,10,9,9,f,f,moderate,f,f,0.14
19601,171,170,100%,75%,f,t,Entire home/apt,8,3.5,3,3,Real Bed,"$2,000.00 ",66,25,93,10,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.22
20300,41,150,N/A,N/A,f,t,Private room,2,1,1,1,Real Bed,$50.00 ,0,2,60,10,6,6,7,10,7,f,f,moderate,f,f,0.04
20611,135,173,0%,100%,f,t,Private room,2,1,1,1,Real Bed,$85.00 ,365,193,94,10,9,10,10,10,9,t,f,strict_14_with_grace_period,t,t,1.55
20717,112,173,N/A,72%,t,t,Private room,2,1.5,1,1,Real Bed,$85.00 ,244,43,98,10,10,10,10,10,10,f,f,flexible,f,f,0.53
20724,179,181,100%,37%,f,t,Private room,1,,1,1,Real Bed,$65.00 ,365,30,86,9,8,9,8,9,9,f,f,strict_14_with_grace_period,f,f,0.31
20755,172,172,100%,93%,t,t,Private room,3,1,1,2,Real Bed,$98.00 ,364,19,89,9,8,10,9,10,9,t,f,strict_14_with_grace_period,f,f,0.21
20913,177,179,N/A,N/A,f,t,Entire home/apt,2,1,1,1,Real Bed,$100.00 ,0,168,81,9,7,9,9,9,8,f,f,moderate,f,f,1.42
21293,178,171,100%,100%,f,t,Entire home/apt,4,1,1,2,Real Bed,$105.00 ,0,133,89,9,8,10,9,9,9,t,f,strict_14_with_grace_period,f,f,1.08
21456,158,149,N/A,11%,f,t,Entire home/apt,2,1,1,1,Real Bed,$140.00 ,291,82,93,10,9,10,10,10,9,f,f,moderate,t,t,0.66
21644,75,173,100%,60%,f,t,Private room,1,1,1,0,Real Bed,$89.00 ,365,3,100,10,10,10,9,10,9,f,f,strict_14_with_grace_period,f,f,0.15
21794,184,176,N/A,90%,t,t,Private room,2,1,1,1,Real Bed,$85.00 ,364,36,99,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.29
22911,174,184,67%,100%,f,t,Entire home/apt,3,1,1,3,Real Bed,$125.00 ,365,139,92,10,10,10,10,8,9,t,f,strict_14_with_grace_period,t,t,1.12
23135,118,118,100%,64%,f,t,Entire home/apt,3,1,2,0,Real Bed,$175.00 ,364,259,94,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,2.11
23545,169,175,100%,78%,f,t,Entire home/apt,6,2,2,2,Real Bed,$200.00 ,338,219,95,10,10,10,9,9,10,f,f,strict_14_with_grace_period,f,t,1.77
23686,161,161,100%,100%,f,t,Entire home/apt,5,2,3,3,Real Bed,$500.00 ,269,49,88,9,9,9,9,10,9,f,f,strict_14_with_grace_period,f,f,0.51
24143,177,172,100%,100%,t,t,Private room,2,2,1,1,Real Bed,$101.00 ,89,352,96,10,10,10,10,10,9,f,f,strict_14_with_grace_period,f,f,2.88
24285,175,182,N/A,100%,f,t,Entire home/apt,9,3,4,6,Real Bed,$220.00 ,365,88,96,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.72
25235,174,167,67%,100%,f,t,Entire home/apt,6,1,2,4,Real Bed,$125.00 ,365,170,92,10,9,10,10,9,9,f,f,strict_14_with_grace_period,t,t,1.39
25406,164,160,N/A,0%,f,t,Entire home/apt,4,1,1,2,Real Bed,$80.00 ,0,29,92,10,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.34
25696,190,190,100%,100%,f,t,Private room,2,1,1,1,Real Bed,$100.00 ,364,190,95,10,10,10,10,10,9,f,f,strict_14_with_grace_period,f,f,1.62
25793,153,153,N/A,N/A,f,t,Entire home/apt,2,1,1,1,Real Bed,$100.00 ,365,0,,,,,,,,f,f,moderate,f,f,
26012,92,175,100%,50%,f,t,Entire home/apt,6,2,3,3,Real Bed,$200.00 ,2,20,98,10,10,10,10,9,10,f,f,strict_14_with_grace_period,f,f,0.18
26362,173,171,100%,95%,f,t,Private room,1,0.5,1,1,Real Bed,$59.00 ,359,374,91,9,9,9,10,10,9,f,f,strict_14_with_grace_period,t,f,3.05
26520,174,174,100%,93%,t,t,Private room,3,1,1,2,Real Bed,$125.00 ,365,29,96,9,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.27
26559,179,179,N/A,N/A,f,t,Entire home/apt,1,1,1,1,Futon,$140.00 ,66,12,97,10,9,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.11
26785,167,167,100%,100%,t,t,Entire home/apt,3,1,1,1,Real Bed,$90.00 ,296,470,99,10,10,10,10,10,10,t,f,strict_14_with_grace_period,f,f,3.86
26933,172,168,100%,84%,f,t,Entire home/apt,6,2,2,4,Real Bed,$350.00 ,359,9,93,10,9,10,10,9,10,f,f,strict_14_with_grace_period,f,f,0.07
26969,170,170,100%,100%,t,t,Entire home/apt,6,1.5,3,4,Real Bed,$325.00 ,95,342,96,10,10,10,10,10,10,t,f,flexible,f,f,2.88
27006,175,173,N/A,100%,f,t,Entire home/apt,4,1.5,2,3,Real Bed,$235.00 ,0,28,92,9,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.25
27024,74,74,50%,50%,f,t,Entire home/apt,4,1,1,3,Real Bed,$150.00 ,362,435,90,10,9,10,10,10,9,t,f,strict_14_with_grace_period,f,f,3.71
27385,171,161,100%,84%,f,t,Entire home/apt,4,1,1,3,Real Bed,$225.00 ,359,124,94,10,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,1.03
27531,184,179,100%,99%,t,t,Private room,2,2,1,2,Real Bed,$99.00 ,0,360,98,10,10,10,10,10,10,f,f,strict_14_with_grace_period,t,t,2.95
27644,161,160,100%,96%,t,t,Entire home/apt,6,1,1,1,Real Bed,$170.00 ,356,209,95,10,10,10,10,10,9,f,f,strict_14_with_grace_period,f,f,1.95
27659,49,49,100%,62%,f,t,Entire home/apt,9,1.5,2,6,Real Bed,$400.00 ,350,16,95,10,9,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.2
27759,87,87,N/A,90%,f,t,Entire home/apt,2,1,1,2,Pull-out Sofa,$170.00 ,202,20,92,9,9,10,10,10,10,t,f,strict_14_with_grace_period,f,f,0.17
27883,0,7,N/A,N/A,f,t,Entire home/apt,3,1,,2,Real Bed,$100.00 ,0,25,97,9,10,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.21
28396,152,154,N/A,N/A,f,t,Private room,2,1,1,1,Real Bed,$90.00 ,365,9,91,9,9,9,9,10,9,f,f,flexible,f,f,0.08
28907,174,170,N/A,0%,f,t,Entire home/apt,4,1,1,2,Real Bed,$150.00 ,160,21,99,10,10,10,10,10,10,f,f,moderate,f,f,0.17
29013,121,139,100%,56%,f,t,Private room,2,1,1,1,Real Bed,$70.00 ,365,64,93,9,9,9,9,9,9,f,f,strict_14_with_grace_period,f,f,0.53
29455,168,168,67%,93%,f,t,Entire home/apt,4,1,1,3,Real Bed,$66.00 ,331,166,92,9,9,10,10,9,9,t,f,strict_14_with_grace_period,f,f,1.38
29628,173,172,N/A,100%,t,t,Private room,2,1,1,1,Real Bed,$89.00 ,364,281,98,10,10,10,10,10,10,t,f,moderate,f,f,2.31
29683,164,159,96%,63%,f,t,Entire home/apt,3,1,1,1,Real Bed,$185.00 ,1,100,95,10,10,10,10,10,9,f,f,strict_14_with_grace_period,f,t,0.82
30031,117,170,N/A,80%,t,t,Private room,2,2,1,1,Real Bed,$50.00 ,0,196,98,10,9,10,10,10,10,t,f,strict_14_with_grace_period,f,f,1.71
31130,160,170,100%,81%,t,t,Private room,2,1,1,1,Real Bed,$130.00 ,351,66,97,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.54
31555,170,176,100%,80%,f,t,Entire home/apt,2,1,0,1,Real Bed,$115.00 ,1,28,93,10,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.24
31902,179,181,100%,50%,f,t,Private room,2,1,3,1,Real Bed,$77.00 ,178,4,87,8,8,9,9,9,9,f,f,strict_14_with_grace_period,f,f,0.03
31994,164,164,100%,100%,f,t,Private room,2,1,1,1,Real Bed,$76.00 ,341,457,90,9,9,9,10,10,10,t,f,moderate,f,f,3.78
32023,182,176,90%,97%,f,t,Entire home/apt,4,1,2,2,Real Bed,$125.00 ,226,263,93,10,9,10,10,10,10,t,f,strict_14_with_grace_period,f,f,2.19
32037,164,164,N/A,72%,t,t,Private room,3,1.5,1,2,Real Bed,$135.00 ,365,92,97,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.77
32289,160,143,N/A,0%,f,t,Entire home/apt,3,1.5,1,1,Real Bed,$199.00 ,217,10,100,10,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.09
32329,136,136,N/A,0%,f,t,Entire home/apt,1,1,1,1,Real Bed,$160.00 ,363,3,100,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.03
32331,22,176,N/A,N/A,f,t,Entire home/apt,3,1,2,1,Real Bed,$140.00 ,0,4,90,10,10,10,10,10,10,f,f,moderate,f,f,0.03
32363,35,80,100%,N/A,f,t,Private room,2,1,1,1,Real Bed,$140.00 ,1,1,80,10,10,8,10,10,8,f,f,flexible,t,f,0.01
32965,185,179,90%,97%,f,t,Entire home/apt,6,1,1,5,Real Bed,$115.00 ,229,141,92,10,9,10,10,10,9,t,f,strict_14_with_grace_period,f,f,1.69
33009,121,162,100%,87%,t,t,Entire home/apt,2,1,1,1,Real Bed,$195.00 ,293,252,99,10,10,10,10,10,10,f,f,strict_14_with_grace_period,t,t,2.08
33014,153,192,100%,31%,f,t,Entire home/apt,3,1,2,2,Real Bed,$195.00 ,274,34,88,8,9,9,9,9,9,f,f,moderate,f,f,0.29
33156,170,173,N/A,N/A,f,t,Entire home/apt,2,1,1,1,Real Bed,$109.00 ,362,19,100,10,10,10,10,10,10,f,f,strict_14_with_grace_period,t,t,0.17
35526,64,175,N/A,92%,t,t,Private room,2,1,1,1,Real Bed,$156.00 ,364,85,99,10,10,10,10,10,10,f,f,flexible,f,f,0.72
36133,80,170,N/A,100%,t,t,Private room,2,1,1,1,Real Bed,$125.00 ,363,165,94,10,10,10,10,10,9,f,f,strict_14_with_grace_period,t,t,1.54
36442,78,120,N/A,0%,f,t,Entire home/apt,4,1,2,4,Real Bed,$115.00 ,159,4,70,8,8,7,9,7,7,f,f,strict_14_with_grace_period,t,t,0.04
36647,148,148,100%,0%,f,t,Private room,2,1,1,1,Real Bed,$59.00 ,237,34,95,10,10,10,10,9,9,f,f,strict_14_with_grace_period,f,f,0.29
36703,145,159,N/A,25%,t,t,Entire home/apt,2,1,1,2,Real Bed,$200.00 ,362,136,98,10,10,10,10,10,9,f,f,strict_14_with_grace_period,f,f,1.14
36934,94,123,N/A,67%,f,t,Entire home/apt,2,1,1,1,Real Bed,$125.00 ,159,27,88,9,10,10,10,10,9,f,f,moderate,f,f,0.23
37042,154,164,N/A,17%,f,t,Entire home/apt,4,1,2,2,Real Bed,$150.00 ,0,25,99,9,10,10,10,10,10,f,f,moderate,f,f,0.21
37197,184,185,N/A,33%,f,t,Entire home/apt,4,1,2,3,Real Bed,$162.00 ,80,64,90,10,9,10,10,9,9,f,f,moderate,f,f,0.6
38638,168,169,N/A,100%,t,t,Entire home/apt,2,1,1,2,Real Bed,$219.00 ,348,133,95,10,10,10,10,10,9,f,f,strict_14_with_grace_period,f,f,1.11
38663,119,160,N/A,17%,f,t,Entire home/apt,13,2.5,5,5,Real Bed,$475.00 ,347,23,93,10,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.24
39267,160,160,100%,61%,f,f,Entire home/apt,4,1,1,1,Real Bed,$99.00 ,231,261,83,8,8,10,10,9,8,f,f,strict_14_with_grace_period,f,f,2.58
39282,168,150,100%,100%,f,t,Private room,2,1,1,1,Real Bed,$50.00 ,90,218,96,10,9,10,10,10,10,t,f,moderate,f,f,1.82
39572,139,139,N/A,22%,f,t,Private room,2,,1,1,Real Bed,$119.00 ,190,44,97,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.37
39586,173,179,N/A,86%,t,t,Private room,2,1,1,1,Real Bed,$150.00 ,365,181,91,9,9,9,9,10,9,f,f,strict_14_with_grace_period,f,f,1.54
39593,84,162,N/A,50%,f,t,Private room,1,1,1,2,Real Bed,$79.00 ,153,29,98,10,10,10,10,9,10,f,f,strict_14_with_grace_period,t,t,0.24
39704,169,162,N/A,100%,f,t,Entire home/apt,4,1,1,1,Real Bed,$135.00 ,0,337,94,10,10,10,10,10,10,f,f,strict_14_with_grace_period,t,t,2.82
40453,83,114,N/A,50%,f,t,Entire home/apt,1,1,1,1,Real Bed,$250.00 ,365,4,100,10,9,10,10,10,10,f,f,flexible,f,f,0.06
41513,128,170,N/A,N/A,f,t,Entire home/apt,4,1,1,3,Real Bed,$80.00 ,0,2,80,10,8,10,10,8,8,f,f,flexible,f,f,0.03
42300,175,172,N/A,N/A,f,t,Entire home/apt,4,2,2,2,Real Bed,$450.00 ,303,57,95,9,9,10,10,9,9,f,f,strict_14_with_grace_period,f,f,0.48
42580,171,171,100%,100%,f,t,Private room,2,1,1,1,Real Bed,$70.00 ,365,322,91,10,10,10,10,10,10,t,f,moderate,f,f,3.36
42729,173,173,100%,64%,f,t,Entire home/apt,2,1,2,2,Real Bed,$165.00 ,365,169,92,10,10,10,10,10,9,f,f,strict_14_with_grace_period,f,f,1.42
42882,167,169,100%,86%,t,t,Private room,2,1,1,1,Futon,$70.00 ,312,176,96,10,9,10,10,9,10,f,f,flexible,t,t,1.58
43726,56,167,100%,84%,t,t,Entire home/apt,6,1,1,5,Real Bed,$275.00 ,173,11,96,10,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,1.45
44096,180,178,100%,79%,t,t,Private room,1,1,1,1,Real Bed,$38.00 ,364,277,98,10,10,10,10,9,10,f,f,strict_14_with_grace_period,t,f,2.34
44161,176,176,100%,96%,t,t,Entire home/apt,4,1,2,2,Real Bed,$150.00 ,160,193,95,10,9,10,10,9,9,f,f,strict_14_with_grace_period,f,f,1.61
44212,179,167,100%,84%,f,t,Private room,2,1,1,0,Real Bed,$125.00 ,365,96,95,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.8
44229,180,186,100%,97%,t,t,Private room,2,1,1,1,Real Bed,$110.00 ,365,231,94,10,10,10,10,10,10,f,f,strict_14_with_grace_period,t,t,1.96
44288,179,181,80%,20%,f,t,Entire home/apt,2,1,1,1,Real Bed,$100.00 ,359,89,95,10,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.75
44472,158,162,100%,50%,f,t,Entire home/apt,5,2,3,3,Real Bed,$385.00 ,257,26,100,10,10,10,10,10,10,f,f,moderate,f,f,0.22
44506,82,82,67%,93%,f,t,Entire home/apt,5,1,2,4,Real Bed,$165.00 ,230,97,90,9,9,10,9,9,9,f,f,strict_14_with_grace_period,f,f,0.82
45393,171,171,N/A,0%,f,t,Entire home/apt,2,1,1,1,Real Bed,$150.00 ,357,38,97,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.32
